CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
8/pp2q1k1/3nBb1r/1P3P2/7p/7Q/6PP/3R3K b - - 0 45,8/pp2q1k1/3nB2r/1P2bP2/7p/7Q/6PP/3R3K w - - 1 46,f6e5,0.66275,-0.43298
2kr1b1r/ppp1qppp/2n1p3/2P5/Q7/2N1B3/PP3PPP/R4RK1 w - - 0 15,2kr1b1r/ppp1qppp/2n1p3/2P5/Q7/2N1B3/PP3PPP/3R1RK1 b - - 1 15,a1d1,0.23778,-0.00888
3rrbk1/1Q1n1ppp/p2q1n2/2p5/NpP1pP2/1P6/PB4BP/R3NRK1 w - - 0 22,3rrbk1/1Q1n1ppp/p2q1n2/2p5/NpP1pP2/1P5B/PB5P/R3NRK1 b - - 1 22,g2h3,-0.57313,0.80203
r1r3k1/1pnbbp2/p1p3p1/2PpP1Pp/PP1P3P/3BB1N1/4K3/R1R5 b - - 3 33,r1r3k1/1pnbbp2/2p3p1/p1PpP1Pp/PP1P3P/3BB1N1/4K3/R1R5 w - - 0 34,a6a5,-0.13249,0.36112
3k2r1/2pn1p2/p2p2q1/2pPpNr1/2P1P1Rp/2R2P1P/PP2Q3/7K w - - 1 31,3k2r1/2pn1p2/p2p2q1/2pPpNr1/2P1P1Rp/2R2P1P/PPQ5/7K b - - 2 31,e2c2,0.53257,-0.30413
1k5r/5pp1/1p4r1/1P1p4/7p/1NP1nqn1/R5BP/Q3R1K1 b - - 3 35,1k5r/5pp1/1p4r1/1P1p1n2/7p/1NP1nq2/R5BP/Q3R1K1 w - - 4 36,g3f5,-0.37398,0.60215
5q1k/7p/6p1/1B1Q1p2/4p3/1P3nP1/P1r2PKP/3R4 w - - 6 39,5q1k/1Q5p/6p1/1B3p2/4p3/1P3nP1/P1r2PKP/3R4 b - - 7 39,d5b7,0.42074,-0.19259
4r1k1/1b3ppp/p1qp4/3Nr3/2PQP3/8/PP2R1PP/5RK1 b - - 0 29,4r1k1/1b4pp/p1qp4/3Nrp2/2PQP3/8/PP2R1PP/5RK1 w - - 0 30,f7f5,-0.27715,0.50527
4r3/2qn1k1p/1pNr1pp1/pQ1Pp3/2P5/4RPP1/4P1KP/1R6 b - - 0 30,1n2r3/2q2k1p/1pNr1pp1/pQ1Pp3/2P5/4RPP1/4P1KP/1R6 w - - 1 31,d7b8,-0.53676,0.76417
3Rb3/6rk/1p2pnp1/2b1Np1p/1qP1pP2/1B2P1QP/P1R3P1/7K w - - 9 42,R3b3/6rk/1p2pnp1/2b1Np1p/1qP1pP2/1B2P1QP/P1R3P1/7K b - - 10 42,d8a8,0.50931,-0.282
8/4n2k/pR5p/1p2N3/3pqP2/1P3NP1/P6P/3nB1K1 w - - 1 43,8/4n2k/p2R3p/1p2N3/3pqP2/1P3NP1/P6P/3nB1K1 b - - 2 43,b6d6,-0.30177,0.52896
r5rk/pp2qp1b/1bpp1p1Q/8/2BnP2N/2N4P/PP3P1K/R5R1 w - - 0 22,r5rk/pp2qp1b/1bpp1p1Q/8/2BnPP1N/2N4P/PP5K/R5R1 b - - 0 22,f2f4,-0.16964,0.39668
2b1rrk1/pp3pp1/2p4P/q2pN3/1b1PnP2/2NBP2P/PPQ5/4RRK1 b - - 0 19,2b1rrk1/pp3pp1/2p4P/q2pN3/3PnP2/2bBP2P/PPQ5/4RRK1 w - - 0 20,b4c3,-0.4772,0.7016
r1bqr2k/pp1n4/2pb2Qp/3p2Pn/3P3p/2N1PN2/PP3P1P/R3K1R1 w Q - 1 16,r1bqr2k/pp1n4/2pb2Qp/3p2Pn/3P3p/2N1PN2/PP3P1P/2KR2R1 b - - 2 16,e1c1,0.12704,0.09733
3rr3/p4p1k/1pq1P1p1/5pRp/3P4/4QP1P/PP6/6RK w - - 1 32,3rr3/p4p1k/1pq1P1p1/5R1p/3P4/4QP1P/PP6/6RK b - - 0 32,g5f5,-0.56151,0.78584
4rrn1/2pq3k/1p1pn1pb/1P1N1p2/1PQ2P2/7P/1B2P1BK/3R1R2 w - - 7 32,4rrn1/2pq3k/1p1pn1pb/1P1N1p2/1PQ1PP2/7P/1B4BK/3R1R2 b - - 0 32,e2e4,0.51978,-0.29584
6rk/pp1b1r1p/3q1pp1/3p4/3N3Q/2P2P2/PP2R1PP/4R1K1 w - - 7 23,6rk/pp1b1r1p/3qNpp1/3p4/7Q/2P2P2/PP2R1PP/4R1K1 b - - 8 23,d4e6,0.4695,-0.24565
1r2r1k1/ppp2ppp/2n2nb1/2R5/2BP4/2P1BN1P/2q2PP1/Q4RK1 b - - 5 17,1r2r1k1/1pp2ppp/p1n2nb1/2R5/2BP4/2P1BN1P/2q2PP1/Q4RK1 w - - 0 18,a7a6,-0.10707,0.33056
r5k1/pb2bppp/3r1n2/q2pN1B1/N1p5/1P2P3/P4PPP/2RQ1RK1 w - - 2 17,r5k1/pb2bppp/3r1n2/q2p2B1/N1p3N1/1P2P3/P4PPP/2RQ1RK1 b - - 3 17,e5g4,-0.12976,0.35245
1r6/2pk4/2p1r3/2RpP3/P2Pb1p1/qP3pPp/2PB1R1P/4Q1K1 b - - 5 32,1r6/2pk4/2p5/2Rpr3/P2Pb1p1/qP3pPp/2PB1R1P/4Q1K1 w - - 0 33,e6e5,-0.47758,0.69982
rq3Bk1/p5p1/b1p1p2p/b1Qp4/5p2/2P2P2/P1P3PP/R3K2R w KQ - 0 19,rq4k1/p5B1/b1p1p2p/b1Qp4/5p2/2P2P2/P1P3PP/R3K2R b KQ - 0 19,f8g7,-0.28739,0.50959
2r2rk1/1b3pb1/p5pB/1p1q1P2/2npN3/1B1p2QP/PP4P1/4RRK1 b - - 0 26,2r1r1k1/1b3pb1/p5pB/1p1q1P2/2npN3/1B1p2QP/PP4P1/4RRK1 w - - 1 27,f8e8,-0.12132,0.34352
4rn2/ppq1rpk1/2p1b2p/2Pp1Bpn/3P2N1/4N1PP/PPQ2P2/R3R1K1 b - - 4 22,4r3/ppq1rpk1/2p1b1np/2Pp1Bpn/3P2N1/4N1PP/PPQ2P2/R3R1K1 w - - 5 23,f8g6,-0.3618,0.58294
4Rrk1/2pq2r1/p3R3/3p3Q/7P/2P5/5P1K/8 b - - 3 36,4Rrk1/2pq2r1/4R3/p2p3Q/7P/2P5/5P1K/8 w - - 0 37,a6a5,-0.58592,0.80459
r6k/6pp/2qn4/1p3p2/1Pr5/1QBR1P2/1K4PP/7R b - - 3 32,r6k/6pp/q2n4/1p3p2/1Pr5/1QBR1P2/1K4PP/7R w - - 4 33,c6a6,0.24618,-0.02776
Qnq2rk1/3nbppp/1p2p3/3pP3/2rP4/P1N1BP1N/1P4PP/2R2R1K b - - 5 20,Qnq2rk1/4bppp/1p2p3/3pn3/2rP4/P1N1BP1N/1P4PP/2R2R1K w - - 0 21,d7e5,-0.47748,0.69577
8/2b5/1np4k/1p1p2p1/pPbP1pPp/P1P1rP1P/1B2BK2/4RN2 b - - 9 59,8/2b3k1/1np5/1p1p2p1/pPbP1pPp/P1P1rP1P/1B2BK2/4RN2 w - - 10 60,h6g7,0.04504,0.17241
1rb2rk1/1p4pp/p1p2n2/3p1pq1/N2P4/1Q1BP1P1/PP3P1P/2R1R1K1 b - - 2 17,1rb2rk1/1p4pp/p1p2n2/3p1p1q/N2P4/1Q1BP1P1/PP3P1P/2R1R1K1 w - - 3 18,g5h5,-0.26099,0.47824
3r2k1/5pp1/5n1p/p1p1pP2/1r1qP3/1B1PQ2P/2P2KP1/R1R5 b - - 3 33,3r2k1/5pp1/5n1p/p1p1pP2/1r2P3/1B1PQ2P/1qP2KP1/R1R5 w - - 4 34,d4b2,0.04294,0.17405
6k1/pN3nb1/4q2p/1P1p2p1/5p2/1BP2N1b/P3QPP1/6K1 w - - 2 33,6k1/pN3nb1/4q2p/1P1p2p1/5p2/1BPQ1N1b/P4PP1/6K1 b - - 3 33,e2d3,0.38759,-0.17064
4rrk1/p1q2pp1/1pb2n2/2pp4/3P1b1Q/2PB1P2/PP1N3P/R1B2R1K b - - 2 19,5rk1/p1q2pp1/1pb2n2/2pp4/3P1b1Q/2PBrP2/PP1N3P/R1B2R1K w - - 3 20,e8e3,0.23745,-0.02108
1qr3k1/1b2bppp/1p6/1Nnr4/3N4/2Q3P1/P3PPB1/2RR2K1 b - - 3 25,1qr3k1/1b2bppp/1p6/1Nn1r3/3N4/2Q3P1/P3PPB1/2RR2K1 w - - 4 26,d5e5,-0.01752,0.23377
1k2r3/8/1p2q1n1/Bb2p2p/4P1pP/QP4P1/2PN1r2/1K2R1R1 b - - 0 31,1k2r3/4n3/1p2q3/Bb2p2p/4P1pP/QP4P1/2PN1r2/1K2R1R1 w - - 1 32,g6e7,-0.02286,0.23863
3q1r2/1b5P/2kpQ3/2p1p3/rp2P3/3P4/1PP2P2/1NK3R1 b - - 4 28,3q4/1b5P/2kpQ3/2p1p3/rp2P3/3P4/1PP2r2/1NK3R1 w - - 0 29,f8f2,0.41245,-0.19673
5r2/pbrR1pk1/1p2pp1p/2q5/4PP2/P1N1Q3/1P3KPP/3R4 b - - 10 24,2r5/pbrR1pk1/1p2pp1p/2q5/4PP2/P1N1Q3/1P3KPP/3R4 w - - 11 25,f8c8,-0.2879,0.50312
3qrrk1/1npp1ppp/pb4n1/1p1NPQ2/8/5NB1/P4PPP/2RR2K1 b - - 3 23,3qrrk1/1nppnppp/pb6/1p1NPQ2/8/5NB1/P4PPP/2RR2K1 w - - 4 24,g6e7,0.07446,0.14051
3r1rk1/1p4pp/2p3b1/p2pPpP1/5Pq1/3BP3/PPQ4P/2R2R1K b - - 2 21,3r1rk1/1p4pp/2p3b1/p3PpP1/3p1Pq1/3BP3/PPQ4P/2R2R1K w - - 0 22,d5d4,-0.24769,0.46265
3q2k1/1p3pp1/2n1p3/1N3n1p/2P2P2/1PB3P1/4Q2P/6K1 w - - 0 30,3q2k1/1p3pp1/2n1p3/1N3n1p/2P2P2/1PB3P1/3Q3P/6K1 b - - 1 30,e2d2,-0.14829,0.363
2b5/2p2r1k/2n1q1pn/p3pp2/1pP1P2P/1P1NBP2/P1B2K2/3R2Q1 w - - 0 34,2b5/2p2r1k/2n1q1pn/p3pp1P/1pP1P3/1P1NBP2/P1B2K2/3R2Q1 b - - 0 34,h4h5,0.22101,-0.00653
r2q1rk1/pp2bppp/4pn2/3nN1B1/3P4/1B6/PP2QPPP/R3R1K1 b - - 1 15,r2q1rk1/1p2bppp/4pn2/p2nN1B1/3P4/1B6/PP2QPPP/R3R1K1 w - - 0 16,a7a5,-0.18766,0.40177
4qk2/3nr1p1/1p1R1p1p/p1p5/5P2/BP5P/P1PQ2P1/6K1 b - - 0 33,4qk2/3n2p1/1p1R1p1p/p1p5/5P2/BP5P/P1PQr1P1/6K1 w - - 1 34,e7e2,-0.32134,0.10784
r1r3k1/1p2bppp/p1b1pn2/N7/2B1P3/4BP2/PP3KPP/R6R w - - 7 15,r1r3k1/1p2bppp/p1b1pn2/N7/2B1P3/4BP2/PP3KPP/2R4R b - - 8 15,a1c1,0.28776,-0.0744
r2k4/p2pb1qp/b4r2/Qp6/5R2/1B6/PPP3PP/4R2K b - - 4 26,r3k3/p2pb1qp/b4r2/Qp6/5R2/1B6/PPP3PP/4R2K w - - 5 27,d8e8,-0.17886,-0.03308
1rr3k1/2qbbp2/4p1pp/pp1pP3/3R4/P1PQ1NP1/1P3PP1/1B2R1K1 w - - 0 23,1rr3k1/2qbbp2/4p1pp/pp1pP3/3R4/P1PQ2P1/1P3PPN/1B2R1K1 b - - 1 23,f3h2,-0.12626,0.33808
3r2k1/6p1/4q1Pp/p1Rb4/4p3/2p5/B3QPP1/6K1 w - - 6 41,3r2k1/6p1/4q1Pp/p1RB4/4p3/2p5/4QPP1/6K1 b - - 0 41,a2d5,0.54394,-0.75566
3r2k1/p3qrpp/1pp1n3/3pPp2/NPbP1P1P/2Q2BP1/P1R5/1K1R4 w - - 3 32,3r2k1/p3qrpp/1pp1n3/3pPp2/NPbP1P1P/2Q3P1/P1R1B3/1K1R4 b - - 4 32,f3e2,-0.03452,0.24612
1qbr3r/Rp2kpp1/Bn1b1n1p/1N1p4/3P4/4B2P/2PQNPP1/1R4K1 w - - 6 21,1qbr3r/Rp2kpp1/Bn1b1n1p/1N1p4/3P4/2Q1B2P/2P1NPP1/1R4K1 b - - 7 21,d2c3,0.44351,-0.23204
5bk1/1p1b1ppp/p3p3/4BNq1/1n2Q3/P3PB2/5PPP/6K1 w - - 0 32,5bk1/1p1b1ppp/p2Bp3/5Nq1/1n2Q3/P3PB2/5PPP/6K1 b - - 1 32,e5d6,-0.65778,0.86903
8/6p1/1q4k1/3p1nPp/P3bP2/8/3B3K/4RQ2 b - - 2 62,8/6p1/6k1/3p1nPp/P3bP2/1q6/3B3K/4RQ2 w - - 3 63,b6b3,0.00258,0.20821
5r2/qp6/1p1k3p/rPpPpPpP/P1PnB1P1/2B4K/8/R2Q4 w - - 20 74,5r2/qp6/1p1k3p/rPpPpPpP/P1PnB1P1/7K/8/R2QB3 b - - 21 74,c3e1,0.57127,-0.36185
n1rn1rk1/2qb3p/p3p1p1/1p1pP1P1/1P1N1Pp1/P2BB3/2P2Q2/R4RK1 w - - 0 29,n1rn1rk1/2qb3p/p3p1p1/1p1pP1P1/1P1N1Pp1/P2BB3/2P2QK1/R4R2 b - - 1 29,g1g2,0.48184,-0.27256
r3rk2/2q1b3/p4p1Q/1p1p4/2pP1P2/2P5/PP1N2PP/4R1K1 b - - 2 24,r3r1k1/2q1b3/p4p1Q/1p1p4/2pP1P2/2P5/PP1N2PP/4R1K1 w - - 3 25,f8g8,-0.1396,0.34879
r1bq1rk1/6n1/p2pp1Q1/1ppP2P1/2P2p2/8/PP2NPP1/R3K2R b KQ - 0 20,r1b2rk1/4q1n1/p2pp1Q1/1ppP2P1/2P2p2/8/PP2NPP1/R3K2R w KQ - 1 21,d8e7,-0.18638,0.39557
5rk1/3q1p2/1p3Ppp/3p3R/4p3/P1P1b3/1P4QP/5R1K w - - 0 34,5rk1/3q1p2/1p3Ppp/3p3R/4p3/P1P1b1Q1/1P5P/5R1K b - - 1 34,g2g3,0.02273,0.18606
6k1/2pq1ppp/p1n5/2Q5/5B2/2PP2P1/r1P2RKP/8 w - - 0 22,6k1/2pq1ppp/p1n5/2Q5/5B2/2PP2P1/r1P1R1KP/8 b - - 1 22,f2e2,0.19124,-0.39998
3Q4/pb4qk/1pp5/3p2P1/3P4/P3P2r/1P1KN1rp/2R4R w - - 1 38,3Q4/pb4qk/1pp5/3p2P1/3P4/P3P2r/1P1KN1rp/5R1R b - - 2 38,c1f1,-0.1274,0.33602
1r3q1k/p1n1bp1p/3p1p2/2p2P1Q/8/2P3R1/P1P3PP/5R1K w - - 3 26,1r3q1k/p1n1bp1p/3p1p2/2p2P1Q/8/2P3R1/P1P3PP/5RK1 b - - 4 26,h1g1,-0.03939,0.248
1r3r1k/b1p1qppp/4pN2/p1n1P3/2B2Q2/PP2P3/1Bb2PPP/R4RK1 w - - 7 19,1r3r1k/b1p1qppp/4pN2/p1n1P3/2B2Q2/PP2P3/1Bb2PPP/2R2RK1 b - - 8 19,a1c1,0.31063,-0.10282
r4r2/ppqb1pp1/4p1k1/6N1/1n1P1b1P/8/PP3PP1/R1BQR2K w - - 3 18,r4r2/ppqb1pp1/4p1k1/4R1N1/1n1P1b1P/8/PP3PP1/R1BQ3K b - - 4 18,e1e5,-0.1467,0.35424
2r2qk1/bp1bnrp1/p2p4/3PpPB1/PP2B1Q1/6N1/7P/R4R1K w - - 5 26,2r2qk1/bp1bnrp1/p2p4/3PpPB1/PP2B1Q1/5RN1/7P/R6K b - - 6 26,f1f3,0.49838,-0.70561
2r2r2/1p2ppkp/p2p1np1/4P3/b1qN1P2/2N4P/1PPQ2P1/3R1RK1 b - - 0 18,2r1nr2/1p2ppkp/p2p2p1/4P3/b1qN1P2/2N4P/1PPQ2P1/3R1RK1 w - - 1 19,f6e8,-0.36875,0.57593
r2k3r/1p2n3/3pQ2p/1pqP1p1P/5p2/2N2B2/PPP5/1K1R4 w - - 2 32,r2k3r/1p2n3/3pQ2p/1NqP1p1P/5p2/5B2/PPP5/1K1R4 b - - 0 32,c3b5,0.37106,-0.16417
r1bqr1k1/pp3p1p/2p2pn1/5B1Q/3p2N1/1P6/PBPP1PPP/R5K1 b - - 3 18,r1bqr2k/pp3p1p/2p2pn1/5B1Q/3p2N1/1P6/PBPP1PPP/R5K1 w - - 4 19,g8h8,0.26032,-0.05433
4r1k1/3b1pp1/1q1b3p/3p1P2/2pP1N2/1p2PR1P/1P3KP1/RQ6 b - - 1 37,4r1k1/3b1pp1/1q5p/3p1P2/2pP1b2/1p2PR1P/1P3KP1/RQ6 w - - 0 38,d6f4,-0.03372,-0.1721
r1b2rk1/p5np/2pq4/3pP3/8/2PB2P1/PP2Q2P/RN2K2R b KQ - 0 18,rqb2rk1/p5np/2p5/3pP3/8/2PB2P1/PP2Q2P/RN2K2R w KQ - 1 19,d6b8,-0.12167,0.3272
r5r1/p1pq1p1k/1p1nb1p1/2p3Pp/2P1PR1N/P2PQ2P/1BP3K1/1R6 w - - 4 24,r5r1/p1pq1p1k/1p1nb1p1/2p3Pp/2P1PR1N/P2PQ2P/2P3K1/BR6 b - - 5 24,b2a1,0.80549,-0.60008
2r3k1/3bqppp/r2ppnn1/1p6/1Q2PP2/BP4PP/P1N2RBK/3R4 b - - 4 25,2r1b1k1/4qppp/r2ppnn1/1p6/1Q2PP2/BP4PP/P1N2RBK/3R4 w - - 5 26,d7e8,-0.30912,0.51432
4rrk1/p1q1bppp/5n2/pPp1p2b/2Pp3N/P2P2PP/2N1PPB1/R2Q1RK1 w - - 2 17,4rrk1/p1q1bppp/5n2/pPp1p2b/2Pp3N/P2P2PP/4PPB1/R2QNRK1 b - - 3 17,c2e1,-0.10372,0.30882
3r2k1/4bpp1/p1r1bn1p/qp6/3QN2B/P7/1P2BPPP/2R2RK1 w - - 1 20,3r2k1/4bpp1/p1r1bn1p/qp2Q3/4N2B/P7/1P2BPPP/2R2RK1 b - - 2 20,d4e5,-0.19678,0.40173
4k3/pb2r1q1/1ppbn1pR/3p1pP1/3P1P2/PB2P2Q/1P1BNK2/8 w - - 6 35,4k3/pb2r1q1/1ppbn1pR/3p1pP1/3P1P2/P3P2Q/1PBBNK2/8 b - - 7 35,b3c2,0.43451,-0.22963
2r2k2/4rpn1/1p3R1B/1qppP2Q/p2P4/P5P1/1P4KP/8 b - - 0 35,2r2k2/4rpn1/1p3R1B/2ppP2Q/p2P4/P5P1/1q4KP/8 w - - 0 36,b5b2,0.1534,0.0513
3r2k1/p4pn1/1ppb4/5qpp/4R3/1B3PR1/PP1Q1P1P/7K b - - 1 34,6k1/p2r1pn1/1ppb4/5qpp/4R3/1B3PR1/PP1Q1P1P/7K w - - 2 35,d8d7,-0.55459,0.7591
1Q6/p4pkp/3p2p1/3P4/q7/P3rBbP/6P1/5R1K b - - 8 37,1Q6/p4pkp/3p2p1/3Pb3/q7/P3rB1P/6P1/5R1K w - - 9 38,g3e5,0.98934,-0.78483
2k3r1/p2b1p1p/q2p4/3P4/P3N1r1/5QP1/1PP1N1K1/3R4 w - - 6 27,2k3r1/p2b1p1p/q2p1N2/3P4/P5r1/5QP1/1PP1N1K1/3R4 b - - 7 27,e4f6,0.45005,-0.24649
2r1r1k1/5p1p/p5p1/2pN4/3bP3/3n1PB1/P1R3PP/1R3K2 b - - 5 29,2r1r3/5pkp/p5p1/2pN4/3bP3/3n1PB1/P1R3PP/1R3K2 w - - 6 30,g8g7,-0.50984,0.71321
1k1r3r/pp3pbp/6p1/3p4/QP1n4/P1Nq4/R2P1PPP/2B1R1K1 b - - 7 20,1k1r3r/pp4bp/6p1/3p1p2/QP1n4/P1Nq4/R2P1PPP/2B1R1K1 w - - 0 21,f7f5,0.77932,-0.576
4rr1k/p2q2bp/2bpp3/1p3pPQ/3p1P2/1B1P1N2/PPP4P/4RRK1 b - - 3 22,5r1k/p2qr1bp/2bpp3/1p3pPQ/3p1P2/1B1P1N2/PPP4P/4RRK1 w - - 4 23,e8e7,-0.1461,0.34916
4bk2/1p3p2/p2Np2q/2Prn3/7p/2Q4B/PP4PP/4R2K w - - 4 38,4bk2/1p3p2/p2Np2q/2PrnB2/7p/2Q5/PP4PP/4R2K b - - 5 38,h3f5,-0.47653,0.67944
r5rn/1pk1q3/1np1p2p/2NpPp2/1QPP1Pp1/1p6/6PP/2R1NR1K b - - 1 26,r5rn/1pk1q3/1np1p2p/2N1Pp2/1QpP1Pp1/1p6/6PP/2R1NR1K w - - 0 27,d5c4,-0.46781,0.67038
r4bnk/p3rp2/b1pq3n/3p1BN1/1p1P1N1Q/5P2/PPP4P/1K1R2R1 b - - 14 26,r5nk/p3rpb1/b1pq3n/3p1BN1/1p1P1N1Q/5P2/PPP4P/1K1R2R1 w - - 15 27,f8g7,-0.20374,0.40627
1kr2n2/1p1r2p1/p2P3p/q3n3/P2p2P1/1P4Q1/4NP1P/2B2RRK w - - 0 34,1kr2n2/1p1r2p1/p2P3p/q3n3/P2p2P1/1P4Q1/4NP1P/2BR2RK b - - 1 34,f1d1,0.22055,-0.01825
2r1r1k1/1R3ppp/1n2qn2/p2p4/Pb1PpB2/1Q4PP/1P1NPPB1/R5K1 w - - 1 21,2r1r1k1/1R3ppp/1n2qn2/p2p4/Pb1PpB2/6PP/1P1NPPB1/R2Q2K1 b - - 2 21,b3d1,-0.28059,0.48281
8/p2r2k1/1qpr1npp/2R2p2/3PpQ2/1B5P/PP3PP1/2R3K1 b - - 6 36,8/p1qr2k1/2pr1npp/2R2p2/3PpQ2/1B5P/PP3PP1/2R3K1 w - - 7 37,b6c7,-0.42163,0.62385
r5k1/6pp/p2p4/1pp5/1P6/1PNKPb2/2P3qP/R1B1Q3 w - - 0 24,r5k1/6pp/p2p4/1pp5/1P6/1PNKPbQ1/2P3qP/R1B5 b - - 1 24,e1g3,-0.05549,0.2576
3RR3/k1q3p1/ppn5/8/N7/BP6/P1P4p/7K b - - 1 27,3RR3/k4qp1/ppn5/8/N7/BP6/P1P4p/7K w - - 2 28,c7f7,-0.58556,0.78749
6rk/3q1rp1/p4pRp/3b1P2/3PpNQR/2p1P3/P5PP/6K1 b - - 3 32,6rk/3qr1p1/p4pRp/3b1P2/3PpNQR/2p1P3/P5PP/6K1 w - - 4 33,f7e7,-0.23867,0.03721
r2qr1k1/1bpn2pp/pp1p1p2/8/1PP1PP2/2Q3P1/PB4BP/3RR1K1 w - - 1 19,r2qr1k1/1bpn2pp/pp1p1p2/8/1PP1PP2/6P1/PB1Q2BP/3RR1K1 b - - 2 19,c3d2,0.44216,-0.24089
r1b2r2/pp1nq1bk/2pR2pp/2P1pp1n/8/2N1BNPP/PPQ1PPB1/R5K1 b - - 1 15,r1b2r2/pp1nq1bk/2pR2pp/2P2p1n/4p3/2N1BNPP/PPQ1PPB1/R5K1 w - - 0 16,e5e4,0.12281,0.07822
2kq2r1/1p1r1p1p/2p5/5QP1/1PP2B2/2P2P2/P5K1/3R4 b - - 0 33,2kq2r1/1p1r3p/2p2p2/5QP1/1PP2B2/2P2P2/P5K1/3R4 w - - 0 34,f7f6,-0.41547,0.61645
4r2k/5ppp/p1qbr3/2p1p1PP/Np2PnQ1/1P1PB3/1PP5/1K2RR2 w - - 3 29,4r2k/5ppp/p1qbr3/2p1p1PP/Np2PnQ1/1P1PB3/1PP2R2/1K2R3 b - - 4 29,f1f2,0.52509,-0.32421
3r2k1/1p2qpp1/p1n2np1/P7/1p2p3/1B2QP2/1P4PP/2RR2K1 b - - 1 31,3r2k1/1p2qpp1/p4np1/n7/1p2p3/1B2QP2/1P4PP/2RR2K1 w - - 0 32,c6a5,-0.00301,0.20378
4r1k1/ppp2R1p/2b1P1p1/2b5/6n1/1PN5/P1P3PP/2BR3K w - - 2 22,4r1k1/ppp2R1p/2b1P1p1/2b5/N5n1/1P6/P1P3PP/2BR3K b - - 3 22,c3a4,0.0938,0.10686
r4bk1/2q2ppp/2b5/1p2PN2/1n2pB2/2N3Q1/1PP3PP/2R4K b - - 4 25,r4bk1/3q1ppp/2b5/1p2PN2/1n2pB2/2N3Q1/1PP3PP/2R4K w - - 5 26,c7d7,-0.53416,0.73474
r6r/pppb2k1/3b4/3Pp2p/7R/3BN1P1/PPP3K1/7R b - - 1 25,r6r/pppb2k1/8/2bPp2p/7R/3BN1P1/PPP3K1/7R w - - 2 26,d6c5,-0.2642,0.4647
3rr2k/2q1b1pp/p4p2/1p1B1R2/8/2P4P/PP2Q1P1/5R1K w - - 4 27,3rr2k/2q1bBpp/p4p2/1p3R2/8/2P4P/PP2Q1P1/5R1K b - - 5 27,d5f7,-0.03508,-0.16535
r1b2r1k/ppb3p1/6qp/2PQ1pN1/3Pp2P/8/PP1B1PP1/2K1R2R b - - 1 22,r1b2r1k/1pb3p1/6qp/p1PQ1pN1/3Pp2P/8/PP1B1PP1/2K1R2R w - - 0 23,a7a5,-0.01984,0.21942
5rn1/1rp3bk/3pp1pp/8/Np1nPPPP/4K1B1/PP6/2RB3R b - - 1 28,5r2/1rp1n1bk/3pp1pp/8/Np1nPPPP/4K1B1/PP6/2RB3R w - - 2 29,g8e7,0.22018,-0.0206
1r4qk/p1n1bp1p/5p2/2pp1P1Q/8/2P4R/P1P3PP/5RK1 w - - 2 28,1r4qk/p1n1bp1p/5p2/2pp1P1Q/5R2/2P4R/P1P3PP/6K1 b - - 3 28,f1f4,-0.11424,0.3138
1r4qk/p1n1bp1p/5p2/2pp1P1Q/8/2P4R/P1P3PP/5RK1 w - - 6 30,1r4qk/p1n1bp1p/5p2/2pp1P1Q/5R2/2P4R/P1P3PP/6K1 b - - 7 30,f1f4,-0.12083,0.32013
r1b3k1/pp2q1p1/2p5/1PPp1p1p/P2PpPrP/4P1P1/1Q1N1K2/R3R3 w - - 0 25,r1b3k1/pp2q1p1/2p5/PPPp1p1p/3PpPrP/4P1P1/1Q1N1K2/R3R3 b - - 0 25,a4a5,0.36817,-0.16894
3r1rk1/3q2pp/p3n3/1p1pPN2/2pP2Q1/8/PP4PP/2R2RK1 w - - 9 31,3r1rk1/3q2pp/p3n3/1p1pPN2/2pP2Q1/8/PP3RPP/2R3K1 b - - 10 31,f1f2,0.46414,-0.26494
4Rnk1/6q1/7r/3pP1Np/2pP4/2P5/5QP1/1b4K1 b - - 3 44,4Rnk1/6q1/6r1/3pP1Np/2pP4/2P5/5QP1/1b4K1 w - - 4 45,h6g6,0.46125,-0.66003
5rk1/pr3p1p/2p3p1/2Np4/Q2P1P2/1P4qb/P3R1P1/4R1K1 w - - 1 31,5rk1/pr3p1p/2Q3p1/2Np4/3P1P2/1P4qb/P3R1P1/4R1K1 b - - 0 31,a4c6,-0.33568,0.53428
r5k1/1b2b1pp/p3Pr1q/2Pp1p2/PpnP4/5PP1/2B2B1P/RN1QR1K1 w - - 2 25,r5k1/1b2b1pp/p3Pr1q/2Pp1p2/PpnP4/5PP1/R1B2B1P/1N1QR1K1 b - - 3 25,a1a2,-0.06312,0.26159
8/B6p/b3k1p1/5p2/Pb5P/3p1PP1/1r1NnK2/1B1R1N2 b - - 0 38,8/B2k3p/b5p1/5p2/Pb5P/3p1PP1/1r1NnK2/1B1R1N2 w - - 1 39,e6d7,-0.36118,0.55932
