CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
r3rnk1/pb3pp1/3pp2p/5qBQ/1PNP4/6R1/P4PPP/4R1K1 b - - 1 23,r3rnk1/pb3pp1/3pp2p/3q2BQ/1PNP4/6R1/P4PPP/4R1K1 w - - 2 24,f5d5,0.22632,0.21262
1k1r2r1/p2qbp1p/Q1p5/2BP2p1/4N3/3Rp3/PP4PP/2K5 b - - 1 27,1k1r2r1/p2qbp1p/Q1p5/2BP2p1/4N3/3R4/PP2p1PP/2K5 w - - 0 28,e3e2,-0.28687,0.71737
rq3r2/pb1p2kp/3Pnp2/7Q/3N4/2PR4/P4PPP/5RK1 w - - 3 28,rq3r2/pb1p2kp/3Pnp2/7Q/3N4/2PR4/P4PPP/1R4K1 b - - 4 28,f1b1,0.1395,0.28951
r5k1/1pR3p1/p1np1pP1/3q1Pn1/P5P1/4pP1R/1P4K1/7Q b - - 0 34,r5k1/1pR3p1/p1np1pP1/5Pn1/P5P1/4pP1R/1P1q2K1/7Q w - - 1 35,d5d2,-0.01705,-0.40635
r6q/pppb1k2/3p1npQ/3P4/8/3P2P1/PPP1n1BP/R4R1K w - - 3 20,r6q/pppb1k2/3p1np1/3P4/8/3PQ1P1/PPP1n1BP/R4R1K b - - 4 20,h6e3,0.29394,0.13453
1q2rrk1/pp1b2pp/2p1pn2/2Pp1pn1/3P4/2NBPP2/PP1N1RPP/2RQ2K1 w - - 1 16,1q2rrk1/pp1b2pp/2p1pn2/2Pp1pn1/3P1P2/2NBP3/PP1N1RPP/2RQ2K1 b - - 0 16,f3f4,0.16965,0.25088
4B1k1/1b2qppp/p2p4/3n4/1p1Q4/8/PP3PPP/2R3K1 w - - 0 24,6k1/1b2qppp/p2p4/3n4/Bp1Q4/8/PP3PPP/2R3K1 b - - 1 24,e8a4,0.24954,0.16963
5k2/1b3r1p/r4PpN/3pB3/2pP1R1P/1p2P3/1P4R1/4b2K b - - 4 37,5k2/1b3r1p/5PpN/3pB3/2pP1R1P/1p2P3/1P4R1/r3b2K w - - 5 38,a6a1,-0.0255,0.42722
2k2r1r/ppp3pp/2nbR3/3q4/3p3B/5N2/PPP1QPPP/R5K1 b - - 6 15,2k2r1r/ppp4p/2nbR3/3q2p1/3p3B/5N2/PPP1QPPP/R5K1 w - - 0 16,g7g5,-0.11237,0.51861
r7/Pp3rpk/1Qp1p2p/7q/2P1P3/R6P/1P4P1/3R2K1 w - - 1 28,r2R4/Pp3rpk/1Qp1p2p/7q/2P1P3/R6P/1P4P1/6K1 b - - 2 28,d1d8,0.57982,-0.17856
1r2b3/2q5/kp2p3/p2pPpPp/2pP1K1P/Q1P2B2/2P5/R7 b - - 10 42,1r6/2q5/kp2p1b1/p2pPpPp/2pP1K1P/Q1P2B2/2P5/R7 w - - 11 43,e8g6,-0.02911,0.42419
r3r1k1/1b3p1p/p2p1Pp1/2p5/1qPpP1PP/3PbQ2/1P2N1K1/NR3R2 b - - 2 27,1r2r1k1/1b3p1p/p2p1Pp1/2p5/1qPpP1PP/3PbQ2/1P2N1K1/NR3R2 w - - 3 28,a8b8,0.06919,0.3237
8/p1n2rkp/5qp1/1p1p4/2pR4/2P3NP/PP2QPP1/6K1 b - - 3 26,8/p4rkp/4nqp1/1p1p4/2pR4/2P3NP/PP2QPP1/6K1 w - - 4 27,c7e6,-0.11418,0.50066
r1b2rk1/ppp3pp/2pb3q/8/5p2/2BP1BP1/PPP2P1P/R2QR1K1 w - - 0 16,r1b2rk1/ppp3pp/2pb3q/4B3/5p2/3P1BP1/PPP2P1P/R2QR1K1 b - - 1 16,c3e5,-0.2445,0.62974
5rk1/1Q3ppp/pp2p3/q3P3/3p1P2/6P1/1bP1R2P/1R4K1 w - - 0 33,5rk1/1Q3ppp/pp2p3/q3P3/3p1P2/6P1/1bP2R1P/1R4K1 b - - 1 33,e2f2,0.09759,0.28454
1r3r2/2kbq2p/p1n1pn2/1p1p4/5N1Q/N2B4/PPP3PP/2K1RR2 b - - 13 22,1r3r2/2kbq2p/p1n2n2/1p1pp3/5N1Q/N2B4/PPP3PP/2K1RR2 w - - 0 23,e6e5,0.17264,0.20848
5r1k/p1pq1ppp/5P2/2p1p1P1/2PbN3/6K1/P3Q3/1rB2R2 b - - 0 28,5r1k/p1pq1p1p/5Pp1/2p1p1P1/2PbN3/6K1/P3Q3/1rB2R2 w - - 0 29,g7g6,0.83382,-0.45566
rn1qr1k1/1p2npb1/2p3p1/p7/1PPp4/7Q/PBNP1PP1/2KR1B1R b - - 1 15,r2qr1k1/1p2npb1/n1p3p1/p7/1PPp4/7Q/PBNP1PP1/2KR1B1R w - - 2 16,b8a6,0.07475,0.29919
1kq5/pp3B2/1b1r2p1/5n1p/3r4/PQN4P/1P1R1P2/K2R4 w - - 0 44,1kq5/pp6/1b1r2p1/3B1n1p/3r4/PQN4P/1P1R1P2/K2R4 b - - 1 44,f7d5,-0.02394,0.39779
6k1/1b2q1pp/8/3nN3/3Q1P2/1R3N2/r5rP/4R2K w - - 2 38,6k1/1b2q1pp/8/3nN3/3Q1P2/1R3N2/r5rP/1R5K b - - 3 38,e1b1,0.03209,0.33958
r1bk3r/1pp1nppp/p1np4/8/2Nq4/8/P1PNBPPP/R1QR2K1 b - - 1 16,r1bkr3/1pp1nppp/p1np4/8/2Nq4/8/P1PNBPPP/R1QR2K1 w - - 2 17,h8e8,0.63112,-0.2605
4r2k/pp1nrp1p/2pq1pp1/3P3b/2P2P2/1P1BB1R1/P4Q1P/1K4R1 w - - 1 25,4r2k/pp1nrp1p/2pq1pp1/3P3b/2PB1P2/1P1B2R1/P4Q1P/1K4R1 b - - 2 25,e3d4,-0.03106,0.40064
2r1k3/p4R1Q/1p4Bp/3pP3/6Pq/P7/1P3KP1/2r5 w - - 3 37,2r1k3/p4R1Q/1p4Bp/3pP3/6Pq/P7/1P2K1P1/2r5 b - - 4 37,f2e2,-0.13596,0.50162
