CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_forced_moves_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
k6r/8/R3pn2/p1P1Q3/P6q/1P6/5b1P/7K b - - 5 39,7r/1k6/R3pn2/p1P1Q3/P6q/1P6/5b1P/7K w - - 6 40,a8b7,-1.0,0.81804
2b1rbRk/5p1q/r1n2P1P/1p2p3/3pP3/3P2Q1/1P1BKP2/q6R b - - 1 34,2b1rbqk/5p2/r1n2P1P/1p2p3/3pP3/3P2Q1/1P1BKP2/q6R w - - 0 35,h7g8,-1.0,0.82552
1Q5k/3B2rp/5Kpq/p7/2P3P1/P2R4/6n1/8 b - - 18 47,1Q4rk/3B3p/5Kpq/p7/2P3P1/P2R4/6n1/8 w - - 19 48,g7g8,-1.0,0.81943
8/2R4Q/5qpk/P1pPp3/2P1Pp1b/4rP2/6PP/5K2 b - - 0 39,8/2R4Q/5qp1/P1pPp1k1/2P1Pp1b/4rP2/6PP/5K2 w - - 1 40,h6g5,-1.0,0.82796
6k1/N1p2p2/1rKpqRp1/4b3/1PPp4/3P4/P3P3/1R1Q4 w - - 6 32,6k1/N1K2p2/1r1pqRp1/4b3/1PPp4/3P4/P3P3/1R1Q4 b - - 0 32,c6c7,-1.0,0.8297
8/5pk1/1p6/p2BpQ1p/Pb2P2P/5P2/4K3/4q3 w - - 8 53,8/5pk1/1p6/p2BpQ1p/Pb2P2P/3K1P2/8/4q3 b - - 9 53,e2d3,-1.0,0.8262
r5k1/ppp2rb1/1P4n1/PN1Pp1np/2N1Pp2/5PpK/4B2P/R2QR1B1 w - - 1 26,r5k1/ppp2rb1/1P4n1/PN1Pp1np/2N1Pp2/5Pp1/4B1KP/R2QR1B1 b - - 2 26,h3g2,-1.0,0.83578
r5k1/ppP2rb1/3P2n1/P3p1np/2N1Pp2/2N2PpK/4B2P/R2Q1RB1 w - - 1 26,r5k1/ppP2rb1/3P2n1/P3p1np/2N1Pp2/2N2Pp1/4B1KP/R2Q1RB1 b - - 2 26,h3g2,-1.0,0.84102
5rk1/1p1n2bp/p7/P2P2p1/4R3/4N1Pb/2QB1q1P/4R1K1 w - - 0 29,5rk1/1p1n2bp/p7/P2P2p1/4R3/4N1Pb/2QB1q1P/4R2K b - - 1 29,g1h1,-1.0,0.83507
4rnQk/2q4p/bpp2b2/4p3/1P2PpB1/2B5/P2N1P1P/6RK b - - 4 30,4rnk1/2q4p/bpp2b2/4p3/1P2PpB1/2B5/P2N1P1P/6RK w - - 0 31,h8g8,-1.0,0.84112
8/5p1p/p1p1pP1k/1pP1P1pP/1P4P1/5K2/PB6/8 b - - 0 43,8/5p1p/2p1pP1k/ppP1P1pP/1P4P1/5K2/PB6/8 w - - 0 44,a6a5,-1.0,0.83742
r1b4k/ppn3pp/8/3p4/P2PP2q/1Q2BP2/NP2nN2/2R2RK1 w - - 1 24,r1b4k/ppn3pp/8/3p4/P2PP2q/1Q2BP2/NP2nNK1/2R2R2 b - - 2 24,g1g2,-1.0,0.84381
4k2r/5p2/6pp/2q1P3/1p6/1pBR3P/r1P3P1/K3Q2R w k - 0 29,4k2r/5p2/6pp/2q1P3/1p6/1pBR3P/r1P3P1/1K2Q2R b k - 1 29,a1b1,-1.0,0.84506
bn4Rk/r2q4/2p1p3/p1P2p1r/Pp1P1P2/6R1/1P2P2P/6QK b - - 2 31,bn4R1/r2q3k/2p1p3/p1P2p1r/Pp1P1P2/6R1/1P2P2P/6QK w - - 3 32,h8h7,-1.0,0.84577
r4rk1/2pnNppp/qp6/3R4/1p5Q/8/PPP2PPP/2K2R2 b - - 2 17,r4r1k/2pnNppp/qp6/3R4/1p5Q/8/PPP2PPP/2K2R2 w - - 3 18,g8h8,-1.0,0.84986
8/p3r1b1/3R2Q1/4q1kp/8/P3n2P/1P4P1/5RK1 b - - 1 38,8/p3r1b1/3R2Q1/4q2p/7k/P3n2P/1P4P1/5RK1 w - - 2 39,g5h4,-1.0,0.84629
r5k1/ppP2rb1/3P4/P3p1np/2N1Pp1n/2N2Pp1/4B1KP/R2Q1RB1 w - - 3 27,r5k1/ppP2rb1/3P4/P3p1np/2N1Pp1n/2N2Pp1/4B2P/R2Q1RBK b - - 4 27,g2h1,-1.0,0.85112
r1bq2kR/2n1p1b1/2p1Prp1/pp1p2Q1/3P4/2NB1N2/PPP2PP1/2K4R b - - 4 22,r1bq2kb/2n1p3/2p1Prp1/pp1p2Q1/3P4/2NB1N2/PPP2PP1/2K4R w - - 0 23,g7h8,-1.0,0.84851
r3r1k1/1p3pp1/p5N1/P1p3n1/6b1/2N1P1B1/1PQ2PqP/R4RK1 w - - 0 22,r3r1k1/1p3pp1/p5N1/P1p3n1/6b1/2N1P1B1/1PQ2PKP/R4R2 b - - 0 22,g1g2,-1.0,0.85583
8/pp3r1k/1r6/2Q4p/2P4P/5q2/Pb6/KR4R1 w - - 0 32,8/pp3r1k/1r6/2Q4p/2P4P/5q2/PR6/K5R1 b - - 0 32,b1b2,-1.0,0.85502
2b4Q/2qrrp2/7k/2p2p1p/1pB1P2P/1P1P2P1/7K/8 b - - 1 46,2b4Q/2qrrp2/6k1/2p2p1p/1pB1P2P/1P1P2P1/7K/8 w - - 2 47,h6g6,-1.0,0.85907
6k1/p1p3pp/2Qbp3/3p4/8/2P1Bq1K/PP3P2/R6R w - - 1 26,6k1/p1p3pp/2Qbp3/3p4/7K/2P1Bq2/PP3P2/R6R b - - 2 26,h3h4,-1.0,0.85808
5r2/pbrq2p1/4ppP1/Pp2Pk1Q/3p4/6KR/1P3P1P/7R b - - 0 32,5r2/pbrq2p1/4ppP1/Pp2P2Q/3pk3/6KR/1P3P1P/7R w - - 1 33,f5e4,-1.0,0.86104
1Q2R3/5pk1/6p1/p1q2r2/2P4p/1P4nP/6PK/4R1b1 w - - 4 42,1Q2R3/5pk1/6p1/p1q2r2/2P4p/1P4nP/6PK/6R1 b - - 0 42,e1g1,-1.0,0.8643
rnbQk2r/ppp2ppp/4p2n/8/1b4q1/2N2p2/PPPB1PPP/2KR1B1R b kq - 3 9,rnbk3r/ppp2ppp/4p2n/8/1b4q1/2N2p2/PPPB1PPP/2KR1B1R w - - 0 10,e8d8,-1.0,0.86512
8/1p1kp3/3p4/1P6/P1P1Qp1b/3B4/5K1N/7q w - - 1 43,8/1p1kp3/3p4/1P6/P1P1Qp1b/3B4/4K2N/7q b - - 2 43,f2e2,-1.0,0.86493
rnbQkb1r/pp3ppp/2p5/4q3/4n3/8/PPPB1PPP/2KR1BNR b kq - 1 9,rnbk1b1r/pp3ppp/2p5/4q3/4n3/8/PPPB1PPP/2KR1BNR w - - 0 10,e8d8,-1.0,0.86562
3Q1b1r/1ppk1ppp/8/4P3/2PN2b1/4P3/PP4qP/2KR3R b - - 0 18,3k1b1r/1pp2ppp/8/4P3/2PN2b1/4P3/PP4qP/2KR3R w - - 0 19,d7d8,-1.0,0.86622
r6k/1bR2R1p/3p2p1/8/1B1p1b2/P2B1Pn1/1P4PN/3Q3K w - - 1 34,r6k/1bR2R1p/3p2p1/8/1B1p1b2/P2B1Pn1/1P4PN/3Q2K1 b - - 2 34,h1g1,-1.0,0.86652
4r3/pp1nr3/2p4p/4p1b1/4kPP1/1PB5/P1P1KN2/3R4 b - - 1 30,4r3/pp1nr3/2p4p/4p1b1/5kP1/1PB5/P1P1KN2/3R4 w - - 0 31,e4f4,-1.0,0.86752
3N4/pp5k/2pB1npp/8/2P2p2/1P6/P1QR1nKP/7q w - - 1 28,3N4/pp5k/2pB1npp/8/2P2p2/1P6/P1QR1K1P/7q b - - 0 28,g2f2,-1.0,0.86827
7r/3pB3/2pP2k1/1bP1pp2/pP3Kn1/P4P2/8/3B2R1 w - - 0 47,7r/3pB3/2pP2k1/1bP1pp2/pP4n1/P4PK1/8/3B2R1 b - - 1 47,f4g3,-1.0,0.86922
3r4/5Qkp/7N/6P1/2P5/2qn3P/1p6/5R1K b - - 0 48,3r3k/5Q1p/7N/6P1/2P5/2qn3P/1p6/5R1K w - - 1 49,g7h8,-1.0,0.87111
rn1Qkb1r/pp2pp1p/2p2p2/8/8/5N2/qPPB1PPP/2KR3R b kq - 1 13,rn1k1b1r/pp2pp1p/2p2p2/8/8/5N2/qPPB1PPP/2KR3R w - - 0 14,e8d8,-1.0,0.87237
1r5k/5Rb1/p2PbNpQ/Pp2p3/2q1P3/6PP/1P4B1/6K1 b - - 0 32,1r5k/5R2/p2PbNpb/Pp2p3/2q1P3/6PP/1P4B1/6K1 w - - 0 33,g7h6,-1.0,0.87508
