,fen,original,mirror,difference
502,r3r1k1/pp1b2bp/1q1p2p1/2nP2B1/3p3Q/3B1N1P/PP4P1/3R1RK1 b - - 4 21,0.3705324095594081,0.2974701352821984,0.07306227427720968
503,2brr1k1/ppp1bppp/2pn4/2NqN3/3P1B2/2P5/PP2QPPP/R3R1K1 w - - 3 16,-0.0514630250014029,-0.1244773626602681,0.0730143376588652
505,1r3rk1/2q1bppp/8/1p2p3/3BPnb1/4QN2/1PB2PPP/R1R2NK1 b - - 2 21,-0.129984405165135,-0.0571523094832977,0.0728320956818373
504,5r1k/2p3pp/p1Qb4/1p1P4/1N2B1bq/P6r/1PP5/1K2R2R w - - 0 30,-0.129984405165135,-0.0571523094832977,0.0728320956818373
506,1r4k1/2p1b2p/4p1p1/4P1r1/P1bp4/5R2/2P2PPB/2N1R1K1 w - - 0 36,-0.6608463355807034,-0.7336699645383301,0.07282362895762673
507,Rq5r/1r1bkpp1/3b1n1p/1N1p4/Q1nP4/4B2P/2P1NPP1/1R4K1 w - - 2 25,-0.5676537285098876,-0.4949202228143469,0.07273350569554071
508,3r1r2/p4pk1/1q2p1p1/3pPnN1/2p2Q2/2P5/PP4PP/1R3R1K b - - 2 24,-0.3745317122352019,-0.3020333792059105,0.07249833302929137
509,2krr3/ppp2q2/8/3P1pp1/1P5p/4BB2/PN3Q2/R4K2 b - - 1 33,-0.1409394785730669,-0.068502896251096,0.07243658232197091
510,4n1r1/ppp2r1k/6pp/3q3N/5p2/P1Q2P2/1PP2PR1/1K4R1 w - - 2 32,-0.871860662289518,-0.944229148288808,0.07236848599929002
511,1rb1k2r/p1p2pb1/2p3np/7q/3PPppP/3Q4/PPPBN1P1/R3N1KR b k - 1 15,0.4306524539120807,0.3583366509133987,0.07231580299868196
512,r2q1rk1/4np1p/3p1p2/p3p1bQ/PpB1P3/8/1PP2PPP/RN3RK1 b - - 3 18,-0.2251785042506313,-0.2974701352821984,0.0722916310315671
513,r4rk1/p5bp/2p3p1/4pbB1/2P5/1P1q1N1P/P2Q2P1/R4R1K b - - 4 24,0.2974701352821984,0.2251785042506313,0.0722916310315671
514,5rk1/1pR3pp/p4r2/1qPpB3/1P2b2Q/P6P/6P1/4R1K1 b - - 2 36,0.2974701352821984,0.2251785042506313,0.0722916310315671
515,8/1k2r1pp/1pppNp2/4nP2/1P2P3/2P3Q1/1PqB2PP/4KR2 b - - 6 29,-0.3416114674830253,-0.2694057903655869,0.07220567711743842
516,1r1rb2k/p4qp1/Pp1P1npp/2p1p3/2P1P3/2BQ1BP1/1RP4P/1R4K1 w - - 1 37,0.2694057903655869,0.3416114674830253,0.07220567711743842
517,rk5r/ppp1bq1p/2n5/2N3B1/3p2Q1/8/PPP2PPP/R5K1 w - - 6 21,0.99999825354391,0.9278953711109228,0.07210288243298724
519,r1bq1rk1/6n1/p2pp1Q1/1ppP2P1/2P2p2/8/PP2NPP1/R3K2R b KQ - 0 20,-0.1518112921932187,-0.0798104163124178,0.07200087588080091
518,r3r3/1p3pkn/1ppb2p1/5bP1/7P/P1NN1B2/1PP5/1K1R2R1 b - - 10 33,0.1518112921932187,0.0798104163124178,0.07200087588080091
520,5r2/2pr3k/1p5p/3P1bq1/2PB1Q2/2Pp4/5PP1/R3R1K1 w - - 2 40,0.4919713475005565,0.4199973537616296,0.07197399373892688
521,r4rk1/pp3p1p/2n5/5b1q/2BP1Bp1/2P5/PP4P1/R2Q1NK1 b - - 3 17,-0.2451416785170799,-0.1732844219139279,0.07185725660315201
522,r1b1rk2/3n2b1/p2q1np1/1ppN4/2B5/4B3/PP2Q1PP/3R1RK1 b - - 1 23,0.1732844219139279,0.2451416785170799,0.07185725660315201
523,6rk/1bp1qp1p/p4p1Q/1p1ppPB1/3bP2P/2NP3R/PPP3r1/1K1R4 b - - 1 22,0.1732844219139279,0.2451416785170799,0.07185725660315201
524,1rr2nk1/p1b1qpp1/1pb1p2p/1B1n4/3P4/P4QN1/1P3PPP/2BRR1K1 w - - 0 26,0.3020333792059105,0.2302140498796711,0.07181932932623941
525,3r2rk/3bqp1p/1ppR1n2/p3p3/4P3/2P2BP1/PP1Q3P/N2R2K1 b - - 1 25,-0.0854459048889734,-0.1572143245837602,0.0717684196947868
526,4r3/p1p4k/1bP1q1p1/3r1p1p/3P3R/3Q1P2/PB5P/6RK w - - 2 36,-0.4090620552812176,-0.3373469856532258,0.07171506962799179
527,3r2k1/pn2q1p1/1p5p/1P1bPN2/3p4/3B3P/P3QRPK/8 b - - 5 33,-0.5361291709629962,-0.6077412270022108,0.07161205603921461
528,r2r4/p4pk1/2p2np1/1p2PR2/5p1Q/2N5/PPPq4/2K3R1 w - - 1 31,0.7641227056980975,0.6926055360815738,0.07151716961652366
529,r1qr2k1/pb3ppp/3Bpnn1/1BQ5/4pP2/PN6/1P4PP/3R1RK1 b - - 2 20,0.5998374744842518,0.5283231957035491,0.07151427878070271
530,r1bq1rk1/pp4p1/1bpp3p/n2n2N1/8/3B1N2/PB1Q1PPP/4RRK1 w - - 0 17,0.4768249164361902,0.405353888328708,0.07147102810748218
531,r5k1/1bpp2pp/ppnbpr2/7q/2PPBP2/P4R2/1PQ1N1PP/R1B3K1 b - - 2 15,-0.4768249164361902,-0.405353888328708,0.07147102810748218
532,r5r1/5pk1/pqb1p3/1pN1bp2/1P6/P2BP3/4QPPP/3RK2R b K - 1 23,0.2500567924772727,0.1785928104923478,0.0714639819849249
533,2rr2k1/3n1ppp/pp1ppn2/2q1P3/2P2P2/1PR2QB1/P5PP/1B2R2K b - - 0 25,-0.7307207518942483,-0.6593331383423174,0.0713876135519309
534,5r1k/1p2q1p1/2p2r1p/p4bB1/Pb5R/1Bn2N1P/5PP1/2Q2R1K b - - 2 32,0.3110609165913118,0.3824319374003374,0.07137102080902558
535,4r1k1/ppq2pp1/3b3p/4n3/8/1NP1BB1P/PP3PP1/R3R1K1 w - - 4 22,-0.2352199886367522,-0.3065636706988887,0.07134368206213648
536,2r1r1k1/1pqb1ppp/p3pn2/3p4/3N1P2/2PBQ1P1/PP2RP1P/4R1K1 b - - 3 18,-0.3065636706988887,-0.2352199886367522,0.07134368206213648
