,parent_fen,child_fen,move,parent_score,child_score,difference
416,1r3bQk/r4p1b/5P1p/2pqp3/1p5P/1P5B/P5RK/6R1 b - - 1 48,1r3bbk/r4p2/5P1p/2pqp3/1p5P/1P5B/P5RK/6R1 w - - 0 49,h7g8,-1.0,-0.93262,0.06738
417,2r3k1/pp3p1Q/5pn1/5N2/b7/q2BP2R/6PP/6K1 b - - 5 36,2r2k2/pp3p1Q/5pn1/5N2/b7/q2BP2R/6PP/6K1 w - - 6 37,g8f8,-1.0,-0.93265,0.06735000000000002
419,1QR5/5qpk/p5rp/8/3Bp3/2P4P/P5r1/3R2K1 w - - 0 40,1QR5/5qpk/p5rp/8/3Bp3/2P4P/P5r1/3R3K b - - 1 40,g1h1,-1.0,-0.93282,0.06718000000000002
418,2n4r/pkp3q1/QnN1b3/1P2p1pp/2p5/R2r2P1/P2N1P1P/1R4K1 b - - 1 30,k1n4r/p1p3q1/QnN1b3/1P2p1pp/2p5/R2r2P1/P2N1P1P/1R4K1 w - - 2 31,b7a8,-1.0,-0.9329,0.06710000000000005
420,6r1/pp3r1k/3p4/2pPqPBR/2P5/2P5/P7/6RK b - - 0 28,6r1/pp3rk1/3p4/2pPqPBR/2P5/2P5/P7/6RK w - - 1 29,h7g7,-1.0,-0.93292,0.06708000000000003
421,5Q2/p3pR1k/p1p5/4r1p1/2P1q2P/1P6/P5P1/7K b - - 5 31,5Q2/p3pR2/p1p3k1/4r1p1/2P1q2P/1P6/P5P1/7K w - - 6 32,h7g6,-1.0,-0.93296,0.06703999999999999
422,5R2/5kpp/3pNb2/3qpP2/1p6/pP6/P6P/1KR5 b - - 3 36,5R2/4k1pp/3pNb2/3qpP2/1p6/pP6/P6P/1KR5 w - - 4 37,f7e7,-1.0,-0.93311,0.06689
423,rnR1kb1r/p4ppb/5P1p/1q1p4/8/6P1/P4PBP/3Q2KR b kq - 1 19,rnR2b1r/p2k1ppb/5P1p/1q1p4/8/6P1/P4PBP/3Q2KR w - - 2 20,e8d7,-1.0,-0.93311,0.06689
424,r1b1k2r/8/2N5/p4pP1/P2Bn1n1/2P4N/4B1Pb/R4RK1 w kq - 2 29,r1b1k2r/8/2N5/p4pP1/P2Bn1n1/2P4N/4B1Pb/R4R1K b kq - 3 29,g1h1,-1.0,-0.93324,0.06676000000000004
427,r4k1r/pp2Q2p/4R1p1/5p2/8/8/2Pb1PPP/q4BK1 b - - 1 25,r5kr/pp2Q2p/4R1p1/5p2/8/8/2Pb1PPP/q4BK1 w - - 2 26,f8g8,-1.0,-0.93327,0.06672999999999996
426,4r2k/pp5R/2pBp3/8/P3Q3/4P2P/6PK/1qq5 b - - 0 34,4r1k1/pp5R/2pBp3/8/P3Q3/4P2P/6PK/1qq5 w - - 1 35,h8g8,-1.0,-0.93336,0.06664000000000003
434,8/4R3/2qp1pp1/2p1pNkp/1pQ1PnPP/8/2P4K/8 b - - 0 52,8/4R3/2qp1pp1/2p1pN1p/1pQ1PnkP/8/2P4K/8 w - - 0 53,g5g4,-1.0,-0.93344,0.06655999999999995
428,4k1Q1/1rq5/3p1Bp1/pp1Pp3/3nP3/P2P2PP/6BK/1r6 b - - 7 33,6Q1/1rqk4/3p1Bp1/pp1Pp3/3nP3/P2P2PP/6BK/1r6 w - - 8 34,e8d7,-1.0,-0.93346,0.06654000000000004
429,7Q/5p2/1n3ppk/q7/1p1p4/1P1P2PP/r1P4K/4N3 b - - 1 36,7Q/5p2/1n3pp1/q5k1/1p1p4/1P1P2PP/r1P4K/4N3 w - - 2 37,h6g5,-1.0,-0.93346,0.06654000000000004
430,8/3R3p/p3pnpk/2q1Q1P1/1p3P2/7P/1P5K/2r5 b - - 0 44,8/3R3p/p3pnp1/2q1Q1Pk/1p3P2/7P/1P5K/2r5 w - - 1 45,h6h5,-1.0,-0.93347,0.06652999999999998
431,3r4/1Rk2p2/B1p1p3/4P3/5q2/P7/7r/1K1R4 b - - 3 31,2kr4/1R3p2/B1p1p3/4P3/5q2/P7/7r/1K1R4 w - - 4 32,c7c8,-1.0,-0.93347,0.06652999999999998
432,8/1p3ppk/7r/R4R2/3P2p1/1Q2P1Pr/5P1P/6Kq w - - 5 40,8/1p3ppk/7r/R4R2/3P2p1/1Q2P1Pr/5P1P/7K b - - 0 40,g1h1,-1.0,-0.93349,0.06650999999999996
