,parent_fen,child_fen,move,parent_score,child_score,difference
864,8/3R1pk1/4nbp1/1BB4p/P5r1/8/1P6/1K6 w - - 4 58,8/3R1pk1/4nbp1/1B5p/P5r1/B7/1P6/1K6 b - - 5 58,c5a3,-0.28179,-0.38774,0.10594999999999999
865,8/2n5/R7/2k3p1/5b2/P4K2/8/5N2 w - - 2 65,8/2n5/8/2k3p1/R4b2/P4K2/8/5N2 b - - 3 65,a6a4,0.48417,0.37824,0.10592999999999997
867,2b5/5ppp/p1k5/K7/P2p2P1/1PpN1P1P/2P5/8 b - - 0 36,2b5/5pp1/p1k5/K6p/P2p2P1/1PpN1P1P/2P5/8 w - - 0 37,h7h5,0.1045,-0.00141,0.10590999999999999
866,8/pkn5/2p1p3/b1Pp1p1p/P2P1PpP/3KP1P1/2NN4/8 w - - 4 43,8/pkn5/2p1p3/b1Pp1p1p/P2P1PpP/1N1KP1P1/2N5/8 b - - 5 43,d2b3,-0.36417,-0.47002,0.10585
868,3r2k1/pp1q4/4p1p1/5p1p/3P3P/2R3Q1/PP3PP1/6K1 b - - 3 28,3r2k1/pp4q1/4p1p1/5p1p/3P3P/2R3Q1/PP3PP1/6K1 w - - 4 29,d7g7,-0.55149,-0.44565,0.10584000000000005
869,8/p2k1p1p/1p6/4Ppp1/1PPK4/P5PP/8/8 w - - 4 37,8/p2k1p1p/1p6/2P1Ppp1/1P1K4/P5PP/8/8 b - - 0 37,c4c5,0.00788,-0.09793,0.10581
871,8/1pk4p/p7/3K4/PP5P/8/8/8 b - - 4 44,8/1p1k3p/p7/3K4/PP5P/8/8/8 w - - 5 45,c7d7,-0.64252,-0.74819,0.10567000000000004
870,7k/4p2p/1p2Q3/p1pP2p1/3bP1P1/6K1/PPR5/3q4 w - - 8 47,7k/4p2p/1p6/p1pP1Qp1/3bP1P1/6K1/PPR5/3q4 b - - 9 47,e6f5,-0.799,-0.90462,0.10561999999999994
873,2R5/5p2/1KB4k/p7/P7/2r3p1/8/8 b - - 2 49,2R5/5pk1/1KB5/p7/P7/2r3p1/8/8 w - - 3 50,h6g7,-0.14444,-0.24998,0.10554
872,8/6b1/1p4P1/8/4k3/3p4/3B4/4K3 w - - 0 46,8/6b1/1p4P1/8/4k3/3p4/3B4/3K4 b - - 1 46,e1d1,-0.43084,-0.53638,0.10553999999999997
