CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
2r4k/2r4p/1p1p1ppn/1P5q/Q2RP3/1B4BP/P4PP1/6K1 b - - 6 32,0.04576558242488631,0.24019597411532342
6rk/4qp2/4bR1P/3pP3/p2P4/1pPQ4/1P5r/1B2KR2 b - - 7 48,-0.6887708956760428,-0.4978428275267229
r4nk1/7p/4q1p1/2Q1p3/2p2rP1/p1P2P1P/P2N4/1K1R3R b - - 4 34,0.44443199910997017,0.2549410248700909
r4rk1/4qppp/2b5/3p2P1/ppNQP3/3P3P/PP6/2KR3R w - - 0 28,-0.5309484170954251,-0.3416114674830253
3r2k1/6p1/4q1Pp/p1Rb4/4p3/2p5/B3QPP1/6K1 w - - 6 41,0.4737136295350062,0.662347652481293
r3qr2/1p1Rp1kp/p3Qbp1/8/P7/5N2/1P3PPP/2R3K1 w - - 3 22,0.5606966707320459,0.37453171223520193
r3k2r/2pq3p/p3bp2/P1pp2B1/3b4/2N3Q1/5PPP/2R2RK1 w kq - 0 21,-0.3500405449559876,-0.5361291709629962
r5nk/ppq1bR1p/2p1b3/2p1r3/2P1N1PP/2N5/PPQ1B3/5RK1 b - - 0 22,-0.6227693196379667,-0.8088503115535378
rn1qr1k1/1p2npb1/2p3p1/8/1pPp4/7Q/PBNP1PP1/2KR1B1R w - - 0 16,0.259794102595233,0.07416246655318336
rq2r3/4bpk1/2b1p1p1/1p1pP3/pP1R1PQP/P1P5/2B4K/1N2R3 w - - 1 37,0.30656367069888874,0.12447736266026811
4r2r/pk4pp/2bB4/Q1R5/3K4/3P2P1/PPP2p1P/4qR2 b - - 8 36,0.04576558242488631,-0.13547201025481523
